date,store_nbr,transactions
20130101,25,770
20130102,1,2111
20130102,10,1293
20130102,11,3547
20130102,12,1362
20130102,13,1102
20130102,14,2002
20130102,15,1622
20130102,16,1167
20130102,17,1580
20130102,18,1635
20130102,19,1369
20130102,2,2358
20130102,23,1381
20130102,24,2605
20130102,25,1038
20130102,26,1008
20130102,27,1386
20130102,28,950
20130102,3,3487
20130102,30,708
20130102,31,1401
20130102,32,776
20130102,33,1163
20130102,34,2724
20130102,35,786
20130102,37,1691
20130102,38,1987
20130102,39,1587
20130102,4,1922
20130102,40,1178
20130102,41,915
20130102,43,1385
20130102,44,4821
20130102,45,4208
20130102,46,4886
20130102,47,4161
20130102,48,3397
20130102,49,2346
20130102,5,1903
20130102,50,3077
20130102,51,1985
20130102,54,998
20130102,6,2143
20130102,7,1874
20130102,8,3250
20130102,9,2940
20130103,1,1833
20130103,10,1157
20130103,11,2675
20130103,12,1248
20130103,13,916
20130103,14,1823
20130103,15,1512
20130103,16,1101
20130103,17,1339
20130103,18,1484
20130103,19,1098
20130103,2,2033
20130103,23,1181
20130103,24,2462
20130103,25,887
20130103,26,813
20130103,27,928
20130103,28,749
20130103,3,3026
20130103,30,689
20130103,31,1126
20130103,32,727
20130103,33,1168
20130103,34,2348
20130103,35,725
20130103,37,1526
20130103,38,1746
20130103,39,1426
20130103,4,1551
20130103,40,1171
20130103,41,809
20130103,43,1334
20130103,44,3618
20130103,45,3314
20130103,46,3438
20130103,47,3660
20130103,48,2887
20130103,49,1702
20130103,5,1740
20130103,50,2307
20130103,51,1644
20130103,54,920
20130103,6,1795
20130103,7,1568
20130103,8,2904
20130103,9,2396
20130104,1,1863
20130104,10,970
20130104,11,2515
20130104,12,1064
20130104,13,879
20130104,14,1641
20130104,15,1318
20130104,16,977
20130104,17,1139
20130104,18,1238
20130104,19,1003
20130104,2,2066
20130104,23,1257
20130104,24,2607
20130104,25,1054
20130104,26,813
20130104,27,1034
20130104,28,651
20130104,3,3188
20130104,30,689
20130104,31,1246
20130104,32,680
20130104,33,948
20130104,34,2369
20130104,35,630
20130104,37,1701
20130104,38,1723
20130104,39,1285
20130104,4,1596
20130104,40,1044
20130104,41,835
20130104,43,1358
20130104,44,4169
20130104,45,3630
20130104,46,3434
20130104,47,3915
20130104,48,2900
20130104,49,2016
20130104,5,1642
20130104,50,2698
20130104,51,1786
20130104,54,794
20130104,6,1679
20130104,7,1513
20130104,8,2962
20130104,9,1975
20130105,1,1509
20130105,10,1269
20130105,11,3052
20130105,12,1293
20130105,13,1336
20130105,14,2052
20130105,15,1543
20130105,16,1109
20130105,17,1433
20130105,18,1323
20130105,19,1713
20130105,2,2062
20130105,23,1250
20130105,24,2578
20130105,25,1355
20130105,26,1081
20130105,27,1327
20130105,28,1033
20130105,3,3623
20130105,30,749
20130105,31,1317
20130105,32,890
20130105,33,1217
20130105,34,2599
20130105,35,723
20130105,37,1770
20130105,38,2214
20130105,39,1851
20130105,4,1825
20130105,40,1118
20130105,41,1021
20130105,43,1205
20130105,44,4921
20130105,45,4331
20130105,46,4935
20130105,47,4764
20130105,48,4084
20130105,49,2562
20130105,5,1643
20130105,50,3459
20130105,51,2068
20130105,54,949
20130105,6,2154
20130105,7,1599
20130105,8,3060
20130105,9,2604
20130106,1,520
20130106,10,1173
20130106,11,3188
20130106,12,1271
20130106,13,1008
20130106,14,1313
20130106,15,1149
20130106,16,1323
20130106,17,1383
20130106,18,1405
20130106,19,1157
20130106,2,1992
20130106,23,1100
20130106,24,2061
20130106,25,716
20130106,26,1075
20130106,27,1614
20130106,28,1207
20130106,3,3590
20130106,30,667
20130106,31,1468
20130106,32,772
20130106,33,1302
20130106,34,2377
20130106,35,651
20130106,37,1282
20130106,38,2522
20130106,39,1571
20130106,4,1891
20130106,40,1023
20130106,41,1142
20130106,43,1194
20130106,44,4925
20130106,45,4418
20130106,46,5401
20130106,47,4935
20130106,48,4591
20130106,49,2795
20130106,5,1754
20130106,50,3297
20130106,51,1934
20130106,54,1180
20130106,6,2313
20130106,7,1431
20130106,8,2748
20130106,9,2635
20130107,1,1807
20130107,10,1148
20130107,11,2361
20130107,12,1113
20130107,13,921
20130107,14,1671
20130107,15,1413
20130107,16,1066
20130107,17,1292
20130107,18,1369
20130107,19,1137
20130107,2,1911
20130107,23,1185
20130107,24,2320
20130107,25,703
20130107,26,792
20130107,27,1093
20130107,28,775
20130107,3,2996
20130107,30,663
20130107,31,1170
20130107,32,699
20130107,33,1078
20130107,34,2224
20130107,35,568
20130107,37,1450
20130107,38,1549
20130107,39,1356
20130107,4,1514
20130107,40,1148
20130107,41,744
20130107,43,1137
20130107,44,3871
20130107,45,3339
20130107,46,3205
20130107,47,3570
20130107,48,2697
20130107,49,1719
20130107,5,1577
20130107,50,2371
20130107,51,1637
20130107,54,890
20130107,6,1713
20130107,7,1705
20130107,8,2768
20130107,9,2162
20130108,1,1869
20130108,10,1100
20130108,11,2388
20130108,12,1130
20130108,13,879
20130108,14,1673
